"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Product Details and Add to Cart","3","0","","0"
"0","","0","User Authentication","4","0","","0"
"0","","0","Product Search Filters","4","0","","0"
"0","","0","Shopping Cart Flow","1","0","","0"
